councillor_id,given_name,family_name,ward,role,term_start,term_end,source,notes
431,Unnamed,Barlow,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
460,unspecified,Barlow,,,2003-09-23,2003-09-23,derived_from_votes,DERIVED from vote dates — VERIFY and correct
424,Barry,Berry,,,2000-02-22,2000-02-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
217,David,Berry,,,1995-06-27,2000-10-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2000→2005 (5yr) — may be separate person or separate term
217,David,Berry,,,2005-05-10,2009-10-13,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
519,Given name unknown,Berry,,,2007-12-18,2007-12-18,derived_from_votes,DERIVED from vote dates — VERIFY and correct
466,Rod,Berry,,,2005-12-20,2005-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
326,name unknown,Berry,,,2001-04-24,2001-04-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
29,Mainuddin,Bhuiyan,,,2020-11-24,2020-11-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2020→2025 (5yr) — may be separate person or separate term
29,Mainuddin,Bhuiyan,,,2025-11-18,2026-03-24,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
92,Sophie,Bond,,,2015-12-15,2015-12-15,derived_from_votes,DERIVED from vote dates — VERIFY and correct
480,David,Bradley,,,2008-09-23,2008-09-23,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2008→2016 (8yr) — may be separate person or separate term
480,David,Bradley,,,2016-10-25,2017-04-26,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
546,Felicity,Bradley,,,2016-10-25,2016-10-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
520,Given name unknown,Bradley,,,2007-12-18,2007-12-18,derived_from_votes,DERIVED from vote dates — VERIFY and correct
404,Lindsay,Bradley,,,2003-05-27,2003-05-27,derived_from_votes,DERIVED from vote dates — VERIFY and correct
495,Peter,Bradley,,,2006-02-28,2006-02-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
196,Rod,Bradley,,,2003-09-23,2022-07-21,derived_from_votes,DERIVED from vote dates — VERIFY and correct
335,unnamed,Bradley,,,2009-11-24,2009-11-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2009→2013 (4yr) — may be separate person or separate term
335,unnamed,Bradley,,,2013-09-24,2013-09-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2013→2018 (5yr) — may be separate person or separate term
335,unnamed,Bradley,,,2018-04-24,2018-04-24,derived_from_votes,DERIVED from vote dates — VERIFY; period 3
280,unspecified,Bradley,,,2012-05-22,2012-05-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
93,Nic,Brunsdon,,,2007-03-27,2007-03-27,derived_from_votes,DERIVED from vote dates — VERIFY and correct
382,Jason,Buckley,,,2012-06-26,2012-06-26,derived_from_votes,DERIVED from vote dates — VERIFY and correct
230,Graham,Burkett,,,1997-05-27,2005-02-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
403,Ian,Burkett,,,2003-05-27,2003-05-27,derived_from_votes,DERIVED from vote dates — VERIFY and correct
570,Unnamed,Burkett,,,2002-11-19,2002-11-19,derived_from_votes,DERIVED from vote dates — VERIFY and correct
323,name unknown,Burkett,,,2001-04-24,2001-04-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
90,Mihael,Busan,,,2007-03-27,2007-03-27,derived_from_votes,DERIVED from vote dates — VERIFY and correct
523,Corinne,Carr,,,2011-12-20,2011-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
178,Emma,Carr,,,2024-10-22,2024-10-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
240,Louis,Carr,,,2011-11-22,2019-09-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
159,Michael,Carr,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2020→2025 (5yr) — may be separate person or separate term
159,Michael,Carr,,,2025-10-28,2025-10-28,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
437,Not named,Carr,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
553,Rosemary,Carr,,,2016-10-25,2016-10-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
5,Xavier,Carr,,,2007-11-20,2026-04-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
297,unnamed,Carr,,,2013-09-24,2013-09-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2013→2018 (5yr) — may be separate person or separate term
297,unnamed,Carr,,,2018-04-24,2018-04-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2018→2022 (4yr) — may be separate person or separate term
297,unnamed,Carr,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY; period 3
278,unspecified,Carr,,,2012-05-22,2012-05-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
142,Lisa,Clack,,,2012-04-24,2012-04-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
69,Chris,Colyer,,,2016-08-23,2016-08-23,derived_from_votes,DERIVED from vote dates — VERIFY and correct
53,Adrian,Corp,,,2017-08-22,2020-11-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
177,Frank,Cutler,,,2024-10-22,2024-10-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
8,Jane,Cutler,,,2006-08-22,2017-08-22,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2017→2020 (3yr) — may be separate person or separate term
8,Jane,Cutler,,,2020-02-25,2026-03-24,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
436,Not named,Cutler,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
430,Unnamed,Cutler,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
54,Jeff,Dawkins,,,2018-11-27,2020-02-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
188,Antonio,Delmenico,,,2025-12-16,2025-12-16,derived_from_votes,DERIVED from vote dates — VERIFY and correct
156,Ben,Delmenico,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY and correct
157,Bruno,Delmenico,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2020→2025 (5yr) — may be separate person or separate term
157,Bruno,Delmenico,,,2025-10-28,2025-10-28,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
96,Geoff,Delmenico,,,2023-11-28,2023-11-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
120,M,Delmenico,,,2026-02-24,2026-02-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
164,M & H,Delmenico,,,2026-04-28,2026-04-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
30,Matt,Delmenico,,,2009-07-28,2009-07-28,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2009→2012 (3yr) — may be separate person or separate term
30,Matt,Delmenico,,,2012-04-24,2012-04-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2012→2018 (6yr) — may be separate person or separate term
30,Matt,Delmenico,,,2018-11-27,2020-11-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2020→2025 (5yr) — may be separate person or separate term
30,Matt,Delmenico,,,2025-10-28,2026-05-26,derived_from_votes,DERIVED from vote dates — VERIFY; period 4
133,Michael,Delmenico,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2020→2025 (5yr) — may be separate person or separate term
133,Michael,Delmenico,,,2025-11-25,2026-02-24,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
264,Peter,Evans,,,2021-04-27,2021-08-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
39,,Everett,,,2012-04-24,2012-04-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2012→2015 (3yr) — may be separate person or separate term
39,,Everett,,,2015-12-15,2021-07-27,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
352,Graham,Everett,,,2020-06-23,2020-06-23,derived_from_votes,DERIVED from vote dates — VERIFY and correct
199,Ian,Everett,,,2017-10-24,2021-07-27,derived_from_votes,DERIVED from vote dates — VERIFY and correct
237,Julian,Everett,,,2019-03-26,2019-03-26,derived_from_votes,DERIVED from vote dates — VERIFY and correct
153,Darren,Foley,,,2009-09-22,2009-09-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
176,David,Foley,,,2024-10-22,2024-10-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
12,Gavin,Foley,,,2009-07-28,2009-10-20,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2009→2012 (3yr) — may be separate person or separate term
12,Gavin,Foley,,,2012-02-28,2017-11-28,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2017→2023 (6yr) — may be separate person or separate term
12,Gavin,Foley,,,2023-12-11,2025-09-30,derived_from_votes,DERIVED from vote dates — VERIFY; period 3
179,Matt,Foley,,,2024-12-10,2024-12-10,derived_from_votes,DERIVED from vote dates — VERIFY and correct
3,Melanie,Foley,,,2006-08-22,2015-10-13,derived_from_votes,DERIVED from vote dates — VERIFY and correct
192,Timothy,Foley,,,2024-11-26,2024-11-26,derived_from_votes,DERIVED from vote dates — VERIFY and correct
247,Rob,Fredericks,,,2021-04-21,2021-04-30,derived_from_votes,DERIVED from vote dates — VERIFY and correct
198,Robert,Fredericks,,,2020-10-19,2021-11-23,derived_from_votes,DERIVED from vote dates — VERIFY and correct
4,Kristy,Gannon,,,2013-10-15,2019-10-15,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2019→2023 (4yr) — may be separate person or separate term
4,Kristy,Gannon,,,2023-11-28,2023-11-28,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
131,Luke,Gibson,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY and correct
379,Sonia,Ginceri,,,2013-02-26,2013-05-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
218,John,Gow,,,2005-05-10,2007-07-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
467,Peter,Gow,,,2005-12-20,2005-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
532,,Grincer,,,2008-03-25,2008-03-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
550,Carol,Grinceri,,,2016-10-25,2016-10-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
521,Given name unknown,Grinceri,,,2007-12-18,2007-12-18,derived_from_votes,DERIVED from vote dates — VERIFY and correct
525,Michael,Grinceri,,,2011-12-20,2011-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
563,Peter,Grinceri,,,2017-06-27,2017-06-27,derived_from_votes,DERIVED from vote dates — VERIFY and correct
244,Sonia,Grinceri,,,2007-12-18,2017-10-17,derived_from_votes,DERIVED from vote dates — VERIFY and correct
338,unnamed,Grinceri,,,2009-11-24,2009-11-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2009→2013 (4yr) — may be separate person or separate term
338,unnamed,Grinceri,,,2013-09-24,2013-09-24,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
279,unspecified,Grinceri,,,2012-05-22,2012-05-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
27,,Haddon-Casey,,,2007-11-20,2024-09-17,derived_from_votes,DERIVED from vote dates — VERIFY and correct
194,Alaine,Haddon-Casey,,,2019-12-17,2022-12-13,derived_from_votes,DERIVED from vote dates — VERIFY and correct
442,Not named,Haddon-Casey,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
432,Unnamed,Haddon-Casey,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
38,Brett,Heil,,,2012-04-24,2012-04-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2012→2015 (3yr) — may be separate person or separate term
38,Brett,Heil,,,2015-12-15,2017-11-28,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2017→2023 (6yr) — may be separate person or separate term
38,Brett,Heil,,,2023-11-28,2026-05-05,derived_from_votes,DERIVED from vote dates — VERIFY; period 3
162,James,Heil,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2020→2025 (5yr) — may be separate person or separate term
162,James,Heil,,,2025-10-28,2025-10-28,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
189,Michael,Heil,,,2025-12-16,2025-12-16,derived_from_votes,DERIVED from vote dates — VERIFY and correct
183,Peter,Heil,,,2026-02-24,2026-02-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
130,Kelton,Hincks,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY and correct
394,,His Worship,,,1998-03-24,1998-03-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
87,Andrew,Howe,,,2023-11-28,2023-11-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
468,Craig,Huxtable,,,2005-12-20,2005-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
219,Penny,Huxtable,,,2005-05-10,2007-06-26,derived_from_votes,DERIVED from vote dates — VERIFY and correct
412,Steele,Ian,,,1999-09-28,1999-09-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
400,Cottrill,James,,,2019-08-27,2019-08-27,derived_from_votes,DERIVED from vote dates — VERIFY and correct
226,David,Johnston,,,1995-07-11,1997-04-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
62,Lee,Katavatis,,,2017-11-28,2017-11-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
193,Barlow,Kate,,,2024-11-26,2024-11-26,derived_from_votes,DERIVED from vote dates — VERIFY and correct
161,Cameron,Kennerly,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2020→2025 (5yr) — may be separate person or separate term
161,Cameron,Kennerly,,,2025-10-28,2025-10-28,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
136,Deborah,Kennerly,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY and correct
134,Lisa,Kennerly,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY and correct
166,Paul,Kennerly,,,2025-11-25,2025-11-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
181,Stephen,Kennerly,,,2026-02-24,2026-02-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
1,Susan,Kennerly,,,2006-08-22,2020-11-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2020→2023 (3yr) — may be separate person or separate term
1,Susan,Kennerly,,,2023-12-11,2026-05-05,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
209,,King,,,2009-11-24,2017-10-17,derived_from_votes,DERIVED from vote dates — VERIFY and correct
552,David,King,,,2016-10-25,2017-06-27,derived_from_votes,DERIVED from vote dates — VERIFY and correct
477,Jeremy,King,,,2017-04-26,2017-04-26,derived_from_votes,DERIVED from vote dates — VERIFY and correct
526,Nick,King,,,2011-12-20,2011-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
543,Rod,King,,,2015-07-28,2015-07-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
539,Roger,King,,,2013-11-26,2013-11-26,derived_from_votes,DERIVED from vote dates — VERIFY and correct
250,Tom,King,,,2014-05-27,2014-05-27,derived_from_votes,DERIVED from vote dates — VERIFY and correct
245,Tracey,King,,,2010-04-27,2017-10-17,derived_from_votes,DERIVED from vote dates — VERIFY and correct
252,Tracy,King,,,2015-11-24,2017-07-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
298,unnamed,King,,,2009-11-24,2009-11-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2009→2013 (4yr) — may be separate person or separate term
298,unnamed,King,,,2013-09-24,2013-09-24,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
276,unspecified,King,,,2012-05-22,2012-05-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
204,Alan,Langer,,,1999-05-25,2015-11-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
494,Brad,Langer,,,2006-02-28,2006-02-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
290,Chris,Langer,,,2007-07-24,2007-07-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
398,Craig,Langer,,,2013-04-23,2013-04-23,derived_from_votes,DERIVED from vote dates — VERIFY and correct
320,David,Langer,,,2002-03-26,2002-03-26,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2002→2005 (3yr) — may be separate person or separate term
320,David,Langer,,,2005-12-20,2005-12-20,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
517,Given name unknown,Langer,,,2007-12-18,2007-12-18,derived_from_votes,DERIVED from vote dates — VERIFY and correct
274,Hans,Langer,,,2003-04-22,2003-04-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
534,Jennifer,Langer,,,2008-03-25,2008-03-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
476,Peter,Langer,,,2008-10-28,2008-10-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
537,Richard,Langer,,,2013-11-26,2013-11-26,derived_from_votes,DERIVED from vote dates — VERIFY and correct
330,name unknown,Langer,,,2001-04-24,2001-04-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
334,unnamed,Langer,,,2002-11-19,2002-11-19,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2002→2009 (7yr) — may be separate person or separate term
334,unnamed,Langer,,,2009-11-24,2009-11-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2009→2013 (4yr) — may be separate person or separate term
334,unnamed,Langer,,,2013-09-24,2013-09-24,derived_from_votes,DERIVED from vote dates — VERIFY; period 3
277,unspecified,Langer,,,2012-05-22,2012-05-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
182,Jess,Le Page,,,2026-02-24,2026-02-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
160,Jo,Le Page,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2020→2025 (5yr) — may be separate person or separate term
160,Jo,Le Page,,,2025-10-28,2025-10-28,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
13,Michael,Le Page,,,2007-11-20,2011-05-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2011→2017 (6yr) — may be separate person or separate term
13,Michael,Le Page,,,2017-08-22,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2020→2023 (3yr) — may be separate person or separate term
13,Michael,Le Page,,,2023-11-13,2026-04-28,derived_from_votes,DERIVED from vote dates — VERIFY; period 3
474,Allan,MacRae,,,2008-10-28,2008-10-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
316,Corine,MacRae,,,2004-09-28,2004-09-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
206,Corinne,MacRae,,,1995-07-11,2017-10-17,derived_from_votes,DERIVED from vote dates — VERIFY and correct
253,Corrine,MacRae,,,1998-02-24,1998-02-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
538,David,MacRae,,,2013-11-26,2013-11-26,derived_from_votes,DERIVED from vote dates — VERIFY and correct
554,Erica,MacRae,,,2016-10-25,2016-10-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
518,Given name unknown,MacRae,,,2007-12-18,2007-12-18,derived_from_votes,DERIVED from vote dates — VERIFY and correct
265,Graeme,MacRae,,,2001-12-18,2001-12-18,derived_from_votes,DERIVED from vote dates — VERIFY and correct
544,Grant,MacRae,,,2009-02-24,2009-02-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
531,Ian,MacRae,,,2009-03-24,2009-03-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
565,Jackie,MacRae,,,2017-06-27,2017-06-27,derived_from_votes,DERIVED from vote dates — VERIFY and correct
478,Peter,MacRae,,,2017-04-26,2017-04-26,derived_from_votes,DERIVED from vote dates — VERIFY and correct
329,name unknown,MacRae,,,2001-04-24,2001-04-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
337,unnamed,MacRae,,,2002-11-19,2002-11-19,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2002→2009 (7yr) — may be separate person or separate term
337,unnamed,MacRae,,,2009-11-24,2009-11-24,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2009→2013 (4yr) — may be separate person or separate term
337,unnamed,MacRae,,,2013-09-24,2013-09-24,derived_from_votes,DERIVED from vote dates — VERIFY; period 3
275,unspecified,MacRae,,,2012-05-22,2012-05-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
7,Gary,Mack,,,1995-07-25,1995-07-25,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 1995→2007 (12yr) — may be separate person or separate term
7,Gary,Mack,,,2007-11-20,2026-05-26,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
443,Not named,Mack,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
158,Stephen,Mack,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2020→2025 (5yr) — may be separate person or separate term
158,Stephen,Mack,,,2025-10-28,2025-10-28,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
435,Unnamed,Mack,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
88,Malcolm,Mackay,,,2023-11-28,2023-11-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
425,Anderton,Marlene,,,2006-07-25,2006-07-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
11,Ben,Mayes,,,2007-11-20,2009-10-20,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2009→2012 (3yr) — may be separate person or separate term
11,Ben,Mayes,,,2012-02-28,2013-10-15,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2013→2020 (7yr) — may be separate person or separate term
11,Ben,Mayes,,,2020-02-25,2026-05-26,derived_from_votes,DERIVED from vote dates — VERIFY; period 3
80,Benjamin,Mayes,,,2026-02-24,2026-02-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
165,Benjamin J,Mayes,,,2026-04-28,2026-04-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
439,Not named,Mayes,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
433,Unnamed,Mayes,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
185,Victoria,Mayes,,,2026-02-24,2026-02-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
221,,Mayor Anderton,,,2005-06-28,2005-06-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
426,,Mayor Willcock,,,1997-04-22,1997-04-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
447,,McAlister,,,2018-04-24,2018-04-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
239,Jo,McAllister,,,2017-10-24,2019-06-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
449,Unnamed,McAllister,,,2018-04-24,2018-04-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
317,David,McAullay,,,2004-09-28,2004-09-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
243,Ken,McAullay,,,2001-05-22,2005-04-26,derived_from_votes,DERIVED from vote dates — VERIFY and correct
266,Margot,McAullay,,,2001-12-18,2001-12-18,derived_from_votes,DERIVED from vote dates — VERIFY and correct
256,Robert,McAullay,,,2003-05-27,2003-05-27,derived_from_votes,DERIVED from vote dates — VERIFY and correct
